,raceethnicity,age,gender,month,city,state,classification,lawenforcementagency,armed
0,0,22,0,1,0,0,0,0,0
1,1,47,0,1,1,1,1,1,1
2,1,19,0,1,2,2,2,2,0
3,2,23,0,1,3,3,1,3,0
4,3,53,0,1,4,4,1,4,1
5,1,32,0,1,5,5,1,5,2
6,2,22,0,1,6,6,1,6,1
7,2,39,0,1,7,7,1,7,3
8,1,25,0,1,8,5,1,8,4
9,0,26,0,1,9,5,3,9,0
10,1,34,1,1,10,8,1,10,0
11,1,35,0,1,11,3,1,11,1
12,0,47,0,1,12,9,1,12,2
13,1,30,0,1,13,8,1,13,1
14,1,31,0,1,14,10,1,14,5
15,0,32,0,1,15,11,1,15,1
16,0,37,0,1,16,12,1,16,1
17,0,42,0,1,17,13,0,17,0
18,1,28,0,1,18,14,1,18,0
19,0,36,0,1,19,15,1,19,0
20,1,42,0,1,20,16,1,20,3
21,1,49,0,1,21,16,1,21,1
22,2,33,0,1,22,11,1,22,1
23,1,71,0,1,23,15,1,23,1
24,2,23,0,1,24,5,1,24,1
25,2,29,0,1,25,17,1,25,1
26,1,39,0,1,26,10,1,26,1
27,1,34,0,1,27,18,1,27,1
28,1,43,0,1,28,11,1,28,4
29,0,24,0,1,29,19,1,29,5
30,1,29,0,1,30,20,1,30,5
31,1,34,0,1,31,16,1,31,4
32,1,68,0,1,32,11,1,32,1
33,1,75,0,1,33,21,1,33,4
34,1,87,0,1,34,22,2,34,0
35,1,24,0,1,35,19,1,35,1
36,0,27,0,1,36,23,1,36,1
37,1,33,0,1,37,12,1,37,1
38,0,34,0,1,38,24,1,38,1
39,2,36,0,1,39,5,1,39,4
40,0,42,0,1,40,6,1,40,5
41,0,23,0,1,41,25,1,41,1
42,0,39,0,1,42,7,1,42,1
44,3,57,0,1,43,19,3,43,3
45,1,69,0,1,44,26,2,44,0
46,2,26,0,1,45,11,1,45,1
47,1,41,0,1,46,11,1,46,1
48,0,21,0,1,47,25,1,47,1
49,2,24,0,1,9,5,1,48,1
50,2,25,0,1,48,11,1,49,4
51,1,32,0,1,49,6,1,50,1
52,1,67,0,1,50,26,1,51,1
53,1,49,0,1,51,27,1,52,4
54,0,19,0,1,52,20,1,53,1
55,1,36,0,1,53,5,1,54,1
56,2,36,0,1,54,11,1,55,1
57,1,45,0,1,55,28,1,56,4
58,1,54,0,1,56,29,1,57,1
59,1,17,1,1,57,11,1,58,4
60,0,25,0,1,58,11,1,55,2
61,0,29,0,1,59,30,1,59,5
62,2,56,0,1,60,11,1,60,4
63,1,61,0,1,61,11,1,61,1
64,0,26,0,1,62,31,1,62,4
65,1,45,0,1,63,32,1,63,1
66,2,26,0,1,64,7,1,64,1
68,2,17,0,1,65,7,1,65,0
69,2,33,0,1,66,5,1,66,4
70,0,57,0,1,5,5,0,67,0
71,1,68,0,1,67,19,1,68,1
72,4,26,0,1,68,6,1,69,5
73,1,29,0,1,69,6,1,70,1
74,0,33,0,1,70,33,1,71,1
75,1,26,0,1,71,11,1,72,1
76,4,33,0,1,72,34,0,73,0
77,3,35,0,1,8,5,1,8,3
78,1,44,0,1,73,11,1,74,1
79,1,40,0,1,74,11,1,49,1
80,1,42,0,1,75,25,1,75,0
81,1,39,1,1,76,13,1,76,4
